,Summary,Priority
130,"EndpointMBeanExportAutoConfiguration required a single bean, but 3 were found",Major
131,NestedEntitySerializer does not support Maps,Major
132,REST calls to /api always redirect to HAL Browser if no accept header is specified,Major
136,Feign client doesn't serialize LocalDate's correctly with Brixton,Major
137,RepositoryEntityController.saveAndReturn calls AfterSaveEvent with wrong domain object,Major
139,RFC 6902 style patch operation not working anymore,Major
143,Projection application failed,Major
144,Projections are no longer applied to collection result,Major
148,Build for Solr integration tests broken after upgrade to Solr 5.5 in  Data Solr,Major
0,2.4.0/2.4.1 sprint-boot Rest Repositories initializr project reports lots of Beans is not eligible for getting processed by all BeanPostProcessors,Minor
1,Crossorigin Put Requests to association resources not working anymore,Minor
2,All the repositories start to respond 404 after some period of time (10-12 hours),Minor
5,Use ConcurrentHashMap in PersistentEntitiesResourceMappings instead of ConcurrentReferenceHashMap,Critical
7,Related entity rendered differently depending on  fetch type,Minor
9,CI tests need to run integration tests,Minor
12,Must send only 1 link to update a property reference that isn't a List or a Map,Minor
13,DefaultExcerptProjector exposes projection present even if metadata returns Optional.empty(),Minor
17,Bean is not created with class org.framework.remoting.jaxws.JaxWsPortProxyFactoryBean in Java 11,Minor
18,Embedded resources default serialisation with projector,Minor
19,Pagination - Unable to override with Default or Custom provided inputs ,Minor
21,Deserializer customizations not propagated to Jackson creator properties,Minor
23,The id parameter of the fromRequestId method of the BackendIdConverter class specified as non-null is null,Minor
24,Can't PUT single-link URI references,Minor
25,Custom serializer not applied anymore,Minor
26,JSON patch doesn't update single Map's values,Minor
27,UnsupportedCassandraOperationException when exposing by rest cassandra repository,Critical
28,NullPointerException in RepositoryRestHandlerMapping during preflight request,Minor
30,NullPointerException when ResourceMetadata not found for a specific type,Minor
32,One to Many put not change a collection,Minor
34,JsonInclude(NON_EMPTY) not honored when serializing Resource with  HATEOAS,Minor
35,Patching a collection element at a position greater than 9 fails,Minor
36,Append-PATCHing a collection via index fails,Minor
39,UnwrappingRepositoryInvoker.invokeFindById(…) falls back to findById(…) even if a custom lookup is present,Minor
40, Data Projection doesn't work when using with Page,Minor
42,HttpMessageNotReadableException caused by NPE,Minor
44,NullPointerException using PUT for a resource with a null target collection,Minor
46,Patch request on an Entity with Version/ETag fails when using a projection,Minor
50,Adapt WrappedProperties to changed defaults in Lombok 1.16.20,Minor
55,Path expressions in JSON Patch allow references to non-properties,Critical
56,Last modification header detection fails for projected query method executions,Minor
59,MoveOperationUnitTests fail on  5 RC1,Minor
60, 5 BUILD-SNAPSHOT breaks  Data REST,Minor
61,HAL Browser: Custom Request Headers are lost in NON-GET requests,Minor
62,AnnotatedEventHandlerInvoker registers event handler twice with Mockito2 and SpyBean,Minor
63,self references generated incorrectly when id contains colons,Minor
64,RepositoryRestMvcConfiguration declares a bean of name `config` ,Minor
65,DomainObjectReader throws UnsupportedOperationException on PATCH request when altering the size of existing Array,Minor
66,Executing a search query returns 404 when a query method returns an entity but no result is returned,Minor
68,Deserialization of request body for creating PUT requests has to consider identifier derived from the URI,Minor
69,"Instructions in ""Assigning Validators manually"" are not correct in reference documentation",Minor
72,Allow overriding exposure defined at the type level on the method,Minor
73,NullPointerException in ServletInvocableHandlerMethod.invokeAndHandle when using ExceptionHandler,Minor
75,"Add another option to, by default, expose none of the repositories",Minor
76,Obsolete Global CORS configuration example,Minor
78,Potential NullPointerException in UriToEntityConverter,Minor
80,PUT nulls Json read-only property,Minor
83,Appending items to an array via JSON Patch doesn't work as defined in the RFC,Minor
84,RepositoryRestHandlerMapping 2 arg constructor broken,Minor
85,PUT requests fail for transient properties not backed by a field,Minor
87,Invalid json schema generated by -data-rest,Minor
92,TestRestTemplate doesn't take .data.rest.base-path in application.properties into account,Minor
93,PUT does not remove nested properties,Minor
95,Some PatchOperations are public and others are package-private.,Minor
96,PUT error when merging a previously undefined array,Minor
98,PUT does not apply new items in nested collection,Minor
100,PUT empties nested collection,Minor
104,PATCH for non-resource associations doesn't work as expected,Minor
108,MappingAwarePageableArgumentResolver accidentally drops default Pageable returned from delegate PageableHandlerMethodArgumentResolver,Minor
109,Fix order dependent DuplicateLinkListingTests,Minor
110,User registered Hibernate 5 Jackson module should be preferred over the one registered by default,Minor
111,Typo in EntityLookupConfiguration assertion message,Minor
120,Sort mapping does not consider Jackson customizations in field names,Minor
121,ResourceProcessor is not invoked if RepositoryEntityController does not return a subtype of Resources,Minor
122,JsonUnwrapped annotation ignored,Minor
124,"-data-rest  repository, transaction issue",Minor
125,Allow excluding properties from being nullified in PUT requests,Minor
127,CustomAcceptHeaderHttpServletRequest doesn't work as intended with  Framework 4.3.2,Minor
128,Fix Solr integration tests after Jackson upgrade,Minor
133,ControllerLinkBuilder does not work with new GetMapping,Minor
134,Broken links to included code in conditionals reference documentation,Minor
135,Broken links to included code in security reference documentation,Minor
138,HAL browser redirect fails when proxied through Zuul,Minor
140,"After upgrading  Data Hopper SR1, projection doesn't work",Minor
141,Incorrect Version documentation,Minor
142,Minor typo in reference documentation,Minor
145,RepositoryConstraintViolationExceptionMessage produces inaccurate output,Minor
146,Nested validation errors reported as top level ones,Minor
147,Nested validation errors reported as top level ones ,Minor
151,Downgrade to Jackson 2.6.5 until 2.7.2 is released,Minor
153, Data REST throws NPE when exposing JSON Schema for a Groovy domai object,Minor
156,embeddeds are not working with Jackson REQUIRE_SETTERS_FOR_GETTERS configuration,Minor
158,ConcurrentModificationException,Minor
159,HAL Browser default URI doesn't respect context path,Minor
162,RepositoryExceptionHandler passes null instead of exception,Minor
167,ProjectionSerializer doesn't react to unwrapping mode correctly,Minor
168,Invalid JSON Schema for properties pointing to association resources,Minor
170,resourceDescriptionMessageSource does not support UTF-8 property files,Minor
171,ALPS profile does not reflect jackson customization (e.g. enableEnumTranslation=true),Minor
173,Upgrading  Data Release Train to Gosling-RELEASE introduces Jackson errors,Minor
174,Use consistent scheme for property titles in JSON Schema,Minor
179,Typo in exception message in parameter checks for ParameterMetadata,Minor
180,Has the page field been removed from paginated responses,Minor
182,Fix gap in JSON Schema unit tests,Minor
183,JSON Schema doesn't show id fields when they are exposed,Minor
184,ALPS metadata should NOT show an id field unless its exposed in the configuration,Minor
185,_embedded resource with curie namespace not rendering in HAL browser,Minor
188,"Typo in docs of RepositoryEntityController::patchItemResource, Docs mention PUT",Trivial
190,"For RepositoryRestController, appending B to URL passes security check.",Critical
191,Non-public RepositoryEventHandler are not made accessible prior to reflective invocation,Minor
195,Fix small typo in reference docs,Trivial
197,ResourceSupportHttpMessageConverter does not reject generic type requests,Minor
199,ETag getVersionInformation fails with proxied Entities for projections,Minor
202,"""Content-Type: text/uri-list"" request fails for unexpanded URI templates",Minor
204,_embedded sometimes missing in output JSON,Minor
207,RepositorySearchesResource shouldn't expose domain type,Minor
208,"ExcerptProjection not applied in on the response at POST, PUT or PATCH",Minor
210,Excerpting works only within getting the list of items,Minor
214,JSON Schema not rendered anymore after changes in default media type handling,Minor
216,PUT request breaks failing to convert the identifier from long to String,Minor
220,MappingResourceMetadata must not be exported,Minor
221,Fix links to ALPS representation descriptors for associations,Minor
222,"Custom RestResource path shows up as link href, but doesn't load data",Minor
223,Reference documentation typo,Minor
225,Fix one word typo in reference docs,Trivial
226,Not convenient to search a repository by a related entity using links,Minor
227,Rendering of lazy-loading proxies fails,Minor
229,JSON Schema reports primitive numbers as object,Minor
231,Repository controllers not invoked if resource is handled manually in dedicated media type,Minor
233,Fix small typo in reference docs,Minor
235,ALPS metadata exposes attributes that can be marked JsonIgnore,Minor
236,JsonIgnored properties must not be updated in PUT requests,Minor
242, Data Rest example module has no build file,Minor
246,Make sure HAL HttpMessageConverter is ordered before the standard one,Minor
258,Latest SNAPSHOT return multiple links attribute,Blocker
259,Deleting a non-existing resource leads to NullPointerException in RepositoryEntityController,Minor
261,ReflectionRepositoryInvoker doesn't apply conversion on invocation of an overridden delete(…) method,Minor
264,java.lang.IllegalStateException: Ambiguous handler methods mapped for HTTP,Blocker
266,Improvements in ResourceProcessorHandlerMethodReturnValueHandler,Minor
270,ReflectionRepositoryInvoker fails to invoke non-public methods,Minor
271,Fields with JsonProperty are ignored on serialization,Minor
273,UriStringDeserializer should guard against URI templates submitted,Minor
276,Illegal character '{' in URL when using projection and PUT request,Minor
277,"""rel"" attribute of RestResource should be optional",Minor
279,Reconfiguring baseUri isn't enough to change path to resolve URI links,Minor
282,PaginationCustomizations are not applied ,Minor
284,(Potentially) unwanted behaviour for self hrefs with projections,Minor
286,RepositoryRelProvider is not registered,Minor
290,NPE when calling count Queries in SD MongoDB Repositories,Minor
292,links hrefs messed with pagination parameters,Minor
293,SDR Schema follows json-schema?,Minor
294, Data REST 2.0.0.RC1 artifacts missing in the milestone repository,Minor
296,"2.0.RC1 breaks root controller (""/""). HAL-browser and the likes fail.",Minor
299,Path.matches(…) should escape reference before trying to match it,Minor
300,Crud or PagingAndSorting based repository entites still listed when findAll method is 'exported = false',Minor
301,AOP proxying does not work for findOne(ID) method,Minor
306,Embedded associations do not get rendered,Minor
309,RestResource(exported=false) throws java.lang.IllegalArgumentException: Not an managed type: class java.lang.Object,Critical
311,Limiting page size,Minor
314,org.neo4j.graphdb.NotInTransactionException on DELETE,Blocker
315,Update (Http PUT) operation should not create new entity,Minor
316,Duplicate classes in  Data REST 2.0.0.BUILD-SNAPSHOT,Minor
319,Master branch build is broken,Minor
320,One-to-one relations in embedded Mongo Documents do not get rendered...,Critical
321,PUT vs PATCH with ,Minor
322,Improvment suggestion: Better support for read only repositories,Minor
323,PUT of entity with links fails..,Minor
324,Lost paging after upgrading to 1.1.0.M1,Minor
325,Optional parameters for find method,Minor
326,Updating value to NULL using  Data REST and PUT Method,Minor
327,Sources for 1.1.0.M1 build are incorrect,Minor
328, data rest with  XML mapping informations,Minor
329,JsonIgnore and other Jackson annotations are ignored,Minor
330,RepositoryEventHandler isn't work,Minor
331,Could not initialize proxy - no Session,Critical
333,RestResource exported=false ignored on methods,Minor
334,Add support for non-CrudRepositories,Minor
335,Build broken,Critical
336,Controller implementations should not be annotated with Controller,Minor
337,Unrelated entities accessible as if they were related,Minor
345,NullPointerException in RepositoryEntityController,Minor
349,Since latest build relations Failed to convert from type de.model.environment.Provider_$$_javassist_6 to type org.framework.hateoas.Resource,Blocker
350,Executing /search/findEntityById?id=823892389 with x--data-compact+json does not return any value.,Minor
351,"POST fails, when links : null",Blocker
352,POST with Accept: application/x--data-compact+json returns Content-Type: application/json,Critical
353,No IDs in href of objects displayed,Blocker
354,Issue on Entity without Version attribute when using Eclipselink as provider,Minor
356,No update on objects,Critical
358,Page metadata not exposed anymore,Minor
359,Could not write JSON: Infinite recursion (StackOverflowError) when trying to do a PUT,Blocker
364,Searches which returns null gives NPE,Critical
365,paging with parameters,Minor
0, old version in use,Critical
1, 1.2.17 is being used in -all - 5.16.3 : [CVE-2021-44228] [] [1.2.17] ,Critical
4,Missing dependency for parsing <camelContext>,Critical
6,Does  use the affected functionality within Xstream libraries for CVE-2020-26217,Critical
7,BlackOut,Critical
9,Initialization of bean failed; nested exception is java.lang.NoSuchMethodError: org.framework.core.annotation.AnnotationUtils.isCandidateClass,Critical
12, Broke due to Persistent Store is full,Critical
14,Continously  java.net.SocketException: Connection reset,Critical
15,Xerver Double Slash Authentication Bypass detected on  directory,Critical
17,jolokia-core-1.6.0.jar is vulnerable to CVE-2018-10899,Critical
20,"virtualSelectorCacheBrokerPlugin fails on ""browse"" action",Critical
21,Security Vulnerabilities in  dependent libraries.,Critical
22,Upgrade to Camel 2.24.1 and Jetty 9.4.19,Critical
23,NPE when calling getAllJobs on JobScheduler MBean,Critical
24,XSS in webconsole,Critical
27,Java heap space And deadLock,Critical
29,"One instance of ""org.apache..transport.nio.SelectorWorker$1"" loaded by ""<system class loader>"" occupies 1,701,178,192 (36.20 bytes. The memory is accumulated in one instance of ""byte[]"" loaded by ""<system class loader>"".",Critical
31,Prevent OOM when recovering KahaDB and memory space is insufficient to load full page,Critical
32,KahaDB store limit can be exceeded with durable subscribers.,Critical
33,Issues with configuring authorizationPlugin,Critical
34,KahaDB Recovery can experience a dangling transaction when prepare and commit occur on different data files.,Critical
35,Load balance on 2 servers,Critical
36,the  load balance,Critical
38, load balance,Critical
40, stop delivering messages,Critical
52,GC goes crazy under load. Heap is filled up with TransportConnectionState objects,Critical
54,Using amq 5.15.3 and camel bridging for dataservices 4.2 ,Critical
55,Dead loop on log file reading,Critical
56,Issue With Master and Slave Mode,Critical
58,Project website does not render correctly over HTTPS in Firefox,Critical
64,Broker fails to start complaining about missing/corrupt journal files,Critical
66,Failover not working,Critical
67,Slow events processing,Critical
69,JDBC XA: Could not remove prepared transaction state from message,Critical
71,MQTT over WebSocket doesn't work when WebSocket data frame contains partial or multiple MQTT control packets,Critical
72,"IO exceptions causing Broker Service shutdown; When broker restarts, active-mq ignores the configured location for kahadb",Critical
73,Async error occurred: java.lang.IllegalStateException: Cannot remove session that had not been registered:,Critical
74, Restarts on the 5.13.1 version when catalina.sh stop invoked,Critical
76," and java version ""1.6.0_45"" 64 bit",Critical
77,Transport Connection failed: java.io.IOException: unable to create new native thread,Critical
78,"[doc] re-work section ""Pooled Consumers and Prefetch"" on prefetch documentation",Critical
79,Preallocation strategy of zeros can leak file descriptors causing crash,Critical
82,"""Not enough cluster members have reported their update positions yet"" after restarting master repeatedly",Critical
83,AMQP/JMS message transformation broken.,Critical
84,Stuck messages to due of duplicated NetworkBrokerId?,Critical
85,Deadlock in Failover transport and inactivity monitor thread,Critical
87,"org.apache..SERIALIZABLE_PACKAGES=""*"" doesn't work",Critical
88,HTTP transport broken in 5.12,Critical
89,Wrong StorePercentUsage in leveldb replicas,Critical
90,Installing camel-core in Karaf prevents -camel from deploying successfully,Critical
92,Broker crashes after a few minutes of reading and writing messages,Critical
94,LevelDB gets corrupted when Primary  server is shutdown while messages are queued to it,Critical
95,DLQ'd message does not get DLQ'd again until broker restart,Critical
97,Found (and fixed) 3 instances of impossible casts in the  code,Critical
98,Unable to config maxThreadPoolSize in broker,Critical
99, corrupted state when local disk fills up and Queues begin to buffer to KahaDB,Critical
100,Potential Deadlock when a duplicate message is read from the store for the DLQ destination,Critical
104,Request/Response with load balance broker Error : Requester received null message,Critical
106,No option to throttle a producer which sends messages in a batch,Critical
107, durable topic subscribers not able to receive new messages after running for awhile,Critical
108,NullPointerException in SelectorAwareVirtualTopicInterceptor,Critical
110,AMQ hangs at socket write in 3.2.2 version under solaris os,Critical
111, OSGi metadata excludes compatibility with  4.X,Critical
112,stomp deadlock,Critical
116,Reconnection attempt logic seems wrong in JmsConnector#doInitializeConnection,Critical
117,allowLinkStealing option is not working when using mqtt over websocket ,Critical
119,Fake AMQP connections remain in  and cause denial of service,Critical
121,Wrong with role-based authorization when using right permission,Critical
125,VMTransport uses broken double checked locking,Critical
126, failed to start with KahaDB reporting corrupt journal records and throwing NegativeArraySizeException,Critical
127,Deadlock between FilePendingMessageCursor usage change and incoming send operations.,Critical
128,Severe memory leak in the MQTT connector,Critical
130,org.apache..leveldb.CountDownFuture,Critical
132,Failed to add Connection ID,Critical
133,Infinite loop in log replay with Replicated LevelDB,Critical
136,Inifinite loop on replicated LevelDB during new Master election,Critical
137,Shared Filesystem Master/Slave using NFSv4 allows both brokers become active at the same time,Critical
139,AMQP Memory leaks in the AMQP Protocol converter on sender link close,Critical
140,"AMQP transaction may fail to commit, or process unexpected messages, if consumer acks are not in a single unbroken sequential range",Critical
141,leveldb failed to page in queue messages,Critical
142,"KahaDB error at startup ""Looking for key N but not found in fileMap""",Critical
144,Using authorization plugin with MQTT causes ClassCastException on client reconnect. ,Critical
145,persistJMSRedelivered feature breaks the ability for KahaDB to compact its journal files,Critical
146,QueueBrowser with expired messages hangs until woken by expired messages background job,Critical
147,LevelDBClient operation failed. NullPointerException after entering recovery mode,Critical
148,EOFException when sending char in MapMessage between Java and C++,Critical
152,NullPointerException in DemandForwardingBridgeSupport.collectBrokerInfos,Critical
153,MQTT Transport codec does not properly deal with partial read of frame header,Critical
155,Stuck messages and CPU churn when aborted transacted message expires,Critical
156,Problem handling connections from multiple AMQP clients in ,Critical
157,Memory leak in  JMX objects,Critical
158,Link stealing doesn't work for MQTT + Webscokets,Critical
160,Cannot use the JDBCIOExceptionHandler when kahadb is configured with lease-database-locker,Critical
161,Wildcard subscriptions bypass Authentication / Authorization,Critical
162,Lost Message with LevelDB,Critical
165,Cannot consume messages. Failed to fill batch . cased by NegativeArraySizeException,Critical
166," replicatedLevelDB cluster breaks, all nodes stop listening",Critical
167,compositeQueue and deadLetterStrategy: messages disappearing,Critical
168,Session.commit() hangs when amqp+nio+ssl is used,Critical
169,JMSClientNioTest fails intermittently,Critical
171,Session.commit() hangs when amqp+nio is used,Critical
174,Old Web Admin console does not manage  - new parameter  messageTTL consumerTTL connections.jsp and connections Panel display error messages,Critical
176,leveldbjni platform jars not included in binary release,Critical
177,getting javax.el.PropertyNotFoundException,Critical
178,our inbound MDP losing connection with MQ and not able to reconnect. ,Critical
179,Corrupted KahaDB store: java.lang.NegativeArraySizeException,Critical
180,Queue Messages lost after read timeout on REST API.,Critical
181,Download page must not link to snapshots / nightly builds,Critical
182,LevelDB can get to a corrupt state when using XA transactions,Critical
183,java.lang.ClassCastException: org.apache..store.kahadb.data.KahaTraceCommand cannot be cast to org.apache..store.kahadb.data.KahaAddMessageCommand,Critical
184,LevelDB corrupted when in a replication cluster,Critical
186,Rar losing messages when there is a XA trx timeout (jboss) ,Critical
187,Scheduler discards overdue messages on startup,Critical
189,-blueprint is missing,Critical
190,-camel hosted on central  repository is not a bundle,Critical
191,REST MessageServlet swallowing Messages on high traffic topic,Critical
192,QueueBrowser hangs when browsing large queues,Critical
196,Deadlock can occur on dispose of TempQueue that contains expired Messages,Critical
197,Client doesn't fail over to other broker if updateClusterClientsOnRemove = true,Critical
200,Persistent message loss when JMS durable subscriber reconnects regardless of message store impl.,Critical
203,Client Connections Not Displayed on Admin Webpage,Critical
204, doesn't start using the service wrapper,Critical
205,Kahadb and  delete files unexpectedly,Critical
206,Client Hang on large payloads of size 1-4MB,Critical
207,REOPEN - javax.jms.JMSException: The resource is allready being used in transaction context. ,Critical
208,No connection could be found for ID NC_,Critical
209,Messages stuck and never gets processed,Critical
210,Endless loop when received incorrect AMQP message,Critical
211,-web-console unusable in OSGi due to massive exports,Critical
212,Stuck Message Issue with  5.6,Critical
214,"With JDBC persistence feature for AMQ, webconsole does not show up any queues ,but just a blank table.",Critical
215,Unable to load custom properties from credentials.properties file located in conf folder of  installation directory,Critical
216,"DiscoveryNetworkConnector can lose track of active bridges, resulting in permanent bridge failure or continued attempts to re-connect existing bridges",Critical
217,Race condition in SimpleDiscoveryAgent creates multiple concurrent threads attempting to connect to the same bridge --- can result in deadlock,Critical
219,Semi-stuck queue until server restart,Critical
221,Broker freezes on peak burst producer persistent message delivery,Critical
222,Producer hang when tempStorage is full if enable flow control for non-persistent queue,Critical
223,InactivityIOException exception leading to ServiceMix not functioning,Critical
224,LeaseDatabaseLocker can not be changed from 5 sec poll,Critical
227,sizePrefixDisabled and/or maxFrameSize change in AcriveMq 5.6 broke FilePendingMessageCursor for big messages,Critical
228,Restarting of persistent embedded broker causing Failed to fill batch error,Critical
230,Tomcat7 with -5.6 or -5.7 starts with error,Critical
232,Instance of BlobTransferPolicy and its URL are being shared among multiple messages,Critical
234,Overlapping PList iterators can read wrong data or throw exceptions about chunk streams not existing.,Critical
236,jms.redeliveryPolicy.redeliveryDelay and jms.redeliveryPolicy.initialRedeliveryDelay options cause a failure on startup,Critical
237,Performance issue with delay policy in DestinationBridge.onMessage,Critical
239,Restful HTTP MessageServlet causing trouble.  May be a garbage collection issue.,Critical
240,Durable subscribers receiving duplicate messages,Critical
242,kahadb log files not getting cleaned up,Critical
244,The body of StompFrame is truncated to 64 chars,Critical
248,Deadlock on Broker when JMX is enabled,Critical
249, broker stops functioning,Critical
252,Tracked command IOException causes FailoverTransport to hang until failure occurs for untracked command,Critical
254,Not all messages will be acknowledged when optimizeAcknowledge is true,Critical
255,Error when starting  :Transport Connector could not be registered in JMX: Failed to bind to server socket,Critical
256,JVM appears hung: Timed out waiting for signal from JVM error when starting ,Critical
257,JDBC Master/Slave : Slave cannot acquire lock when the master loose database connection.,Critical
259,IndexOutOfBoundsException in org.apache..store.kahadb.MessageDatabase.getFirstInProgressTxLocation(),Critical
260,Unable to start broker after KahaDB crash,Critical
261,NullPointerException in TransportConnection,Critical
262,Garbage Collection does not work if mirroredQueue active -> OOM,Critical
263,PooledSession - Can cause memory leak in case many consumers is created by the session,Critical
265,Calling Connection.close() on interrupted thread generates InterruptedIOException and leaks Connection,Critical
266,Rebalance does not work well(reproductive),Critical
267,"Prefetch state can be incorrect when transacted redelivery of duplicates occurs, causing stalled queue",Critical
268,MessageConsumer auto ack of duplicates always sends a standard ack,Critical
275,"Messages get stuck in the queue for some client sessions, ""Dispatched Queue"" grows but ""Dequeues"" doesn't move",Critical
276,Contention on a mutex during a stress when using SimpleAuthenticationPlugin,Critical
277,Zombie  Connection Dispatcher threads - seems to consume all process File Descriptors (FD leak),Critical
279,Exclusive consumers do not rollback session when switched after master slave failover,Critical
280,Broker can lose messages during pure master/slave failover when master undergoes a controlled shutdown,Critical
283,Messages received after unsubscribe/receipt using STOMP protocol.,Critical
284,"Message scheduled via cron to a broker with persistence enabled, is only delivered once",Critical
286," broker hangs after sending many large messages with a TTL, and no DLQ",Critical
287,Wire format negotiation timeout: peer did not send his wire format,Critical
288,duplicate messages on Temporary Topics in network of brokers,Critical
289,Slave broker acquires lock file when Master is still alive (shared file system master/slave setup),Critical
290,"Can't use updateURIsURL, because the entry is missing in the xsd and so the  instance cannot start",Critical
292,"""InactivityMonitor Async Task"" threads leaking",Critical
293,OutOfMemory error on  startup,Critical
294,persistent messages disappear (lost!!) upon expiry rather than ending up in a DLQ,Critical
295,Closing a VMTransport can cause all other VMTransports to be prematurely closed,Critical
296,Race condition in  Journal Checkpoint worker thread cleanup leads to multiple running instances,Critical
298,Network bridge causes deadlock on queue/topic when message dispatch and consumer registration overlap.,Critical
299,Same message redelivered again even though moved to a different queue using web console,Critical
300,kahaDB 3 fails to start after server VM reset,Critical
301,Queue stalls after Job Scheduler component shuts down.,Critical
302,Failed to page in more queue messages - Cannot consume messages,Critical
304,"JRUBY  CLIENT: Exception in thread "" Session Task"" java.lang.StackOverflowError",Critical
305,New clients unable to connect to broker while SubscriptionRecoveryPolicy is running,Critical
306,DiscoveryNetworkConnector and IPv6,Critical
308,Consumers hang when flow control is enabled - unable to proceed?,Critical
309,Kahadb,Critical
310,Time Synchronization Solution,Critical
311, broker processing slows with consumption from large store,Critical
312,"HttpTunnelServlet leaks BlockingQueueTransport objects, causing eventual OOM on heap space",Critical
314, leaks memory for a typical request/response pattern (temporary queues),Critical
315, broker fails to start due to java.lang.NullPointerException,Critical
316,"Message getting stuck on queue, leading to KahaDB log files not being deleted and disk running out of space",Critical
318,bin/ shell script swallows startup errors,Critical
321,Clients are sent messages out of producer-order,Critical
322,Kaha persistence adapter not closing opend file after lock check in secondery server: shared file system mode,Critical
323,NullPointerException in kahadb linked list,Critical
326,a bug when send time out,Critical
327,ConnectionInfo does not override toString to stop logging actual Password in case of Warning. ,Critical
328,Handle leak when out-of-memory,Critical
329,ConcurrentModificationException while sending messages to composite destinations,Critical
331,"When running multiple brokers on the same box, ""-admin stop"" command on a downed instance will shutdown other instances",Critical
332,Session should throw JMSException instead of IllegalStateException if connection is closed,Critical
335, not preserving Message Order,Critical
337,KahaDB rollback fails when connection is closed afterwards,Critical
338,KahaDB doesn't clean up old files,Critical
340,Apache  is prone to XSS Vulnerability,Critical
341,BlobMessages are not deleted after delivery,Critical
342,Cannot rename file,Critical
343,Apache  is prone to source code disclosure vulnerability.,Critical
344,DefaultJDBCAdapter returns incorrect value that prevents  from starting.,Critical
346,Producer Flow Control seems to be broken,Critical
349,"Exception on setting ""sendFailIfNoSpaceAfterTimeout""",Critical
350,Persistent Cross-site Scripting in /createDesitnation.action [JMSDestination parameter],Critical
351,Persistent Cross-site Scripting in /createDesitnation.action [JMSDestination parameter],Critical
353,Memory leak in network of brokers - the number of ConsumerInfo objects increases,Critical
354,OutOfMemory provoked by Advisory messages,Critical
355,QueueBrowser cause duplicate message delivery on network broker after restart,Critical
356,Client stops receiving messages from topic after about 30 minutes of inactivity,Critical
357,Broker goes down when database is restarted or goes down,Critical
359,Channel was inactive for too long,Critical
361,Hangs possible because of Queue.doPageIn,Critical
362,Failover transport memory leak on rollback,Critical
363," doesnt accept connections, and displays error like "" Transport ERROR: Could not accept conenctions ,connection reset. Also the message count is not displayed properly. The messages received is less than messages passed.",Critical
364, performance issues when there are more than 100 queue'd up messages,Critical
368,Setting keepAlive through URL does nothing,Critical
373,"Number of messages when browsing queue is different to ""Number Of Pending Messages"" in queue list",Critical
375,-exceptions,Critical
376,Modifying an existing Durable subscription blocks that subscription from receiving messages,Critical
378,The MaximumPendingMessageLimit option is doesn't work  in .Net,Critical
381," with STOMP producer, multiple consumers --  doesn't distribute correct messages to additional consumer AND Delivers messages out of order to newly connecting consumer.",Critical
383,An application but always throw out of memory exception ,Critical
384,Message expriation causes that receiver gets stuck,Critical
385,AMQ dies after few hour with OutOfMemoryErrors,Critical
386,Reply queue performance hit upgrading to 5.2,Critical
387,Multicast transport does not work when for a consumer or producer,Critical
388,Failover transport should not hang on startup if it cannot connect,Critical
389,OutOfMemoryError after 9505925 persistent messages,Critical
391,Deadlock in org.apache..usage.Usage,Critical
392,Deadlock on producerWindow.waitForSpace() in MessageProducer,Critical
393,More than one Thread can be created for a JMS Session,Critical
394,durable subscriber gets stuck while using persistent delivery mode and client acknowledgment with session.recover().,Critical
398,Systems hang due to inability to timeout socket write operation,Critical
399,MemoryUsage stays at 100used forever after all messages are sent,Critical
400,Negative queue size (reproducible),Critical
402,AbstractStoreCursor.size gets out of synch with Store size and blocks consumers,Critical
403,Kaha store can not retrieve messages with non ASCII charcaters,Critical
405,Non-transactional and exclusive consumer may receive messages out-of-order.,Critical
406,>1 transactional and exclusive consumers receiving messages at the same time.,Critical
407,"consumer stop consuming message when using selector,what's the problem?",Critical
408,Deadlock in broker can occur when optimised dispatch is true,Critical
409,ArrayIndexOutOfBoundsException on restart of broker with durable subscriptions,Critical
410,Master broker is down when slave broker is crashed,Critical
412,"JCONSOLE: Graph Feature doesn't work for QueueSize, Dequeuecount, etc.",Critical
414,HashIndex leaks file handles when destination is removed,Critical
417,Lost messages after broker recovery,Critical
418,Topic messages cause MemoryUsage to increase slowly over time,Critical
419,OOM under minimal load,Critical
421,Https JMSBridgeConnector failed to recover due to an infinite loop in Journal cleanup.,Critical
423, stops dispatching messages aborting transaction (STOMP),Critical
424,Memory leak in broker - Temporary Queue related (fix proposal included),Critical
425,Journal files don't get cleaned up,Critical
427, 4.1.2 packaged with geronimo-jms_1.1_spec-1.1.1.jar that is not Java 1.4 compatible,Critical
428,Resource Adapter's ManagedSessionProxy.setMessageListener is commented out.,Critical
431,Exception on publishing persistent (disk persistence) message once consumer comes up.,Critical
433,Error with virtual topic with more than one consumer name,Critical
436,AmqPersistenceAdapter throws java.io.IOException: Failed to read to journal for: offset,Critical
437,PooledTaskRunner fails to shutdown after task throws exception,Critical
441,Number of items in Topic queue never empties out (Queue Size in JMX for every topic seems to be > 0 all the time),Critical
442,Closing an  connection causes 1.5 JVM to crash,Critical
444,ArrayOutOfBoundsException in InputStream,Critical
446,Unescaped text messages in message detail,Critical
447,Can not unsubscribe topic,Critical
448,HasPage overflow results in indexOutOfBoundsException in AMQStore,Critical
449,InactivityMonitor incorrectly assumes there isn't activity on a Transport,Critical
451,Channel was inactive for too long.,Critical
453,deadlock in Usage & Topic,Critical
